iter	Passed	Remaining
750	1394	462
751	1396	460
752	1397	458
753	1398	456
754	1399	454
755	1400	452
756	1401	449
757	1402	447
758	1403	445
759	1406	444
760	1407	442
761	1408	440
762	1409	437
763	1411	435
764	1411	433
765	1413	431
766	1414	429
767	1415	427
768	1416	425
769	1417	423
770	1418	421
771	1420	419
772	1421	417
773	1422	415
774	1423	413
775	1424	411
776	1425	409
777	1426	407
778	1427	405
779	1428	402
780	1429	400
781	1430	398
782	1432	396
783	1433	394
784	1435	393
785	1437	391
786	1438	389
787	1439	387
788	1440	385
789	1441	383
790	1442	381
791	1443	379
792	1444	377
793	1445	375
794	1447	373
795	1450	371
796	1451	369
797	1453	367
798	1454	365
799	1455	363
800	1457	362
801	1459	360
802	1460	358
803	1461	356
804	1462	354
805	1463	352
806	1466	350
807	1467	348
808	1468	346
809	1469	344
810	1470	342
811	1471	340
812	1472	338
813	1473	336
814	1474	334
815	1475	332
816	1476	330
817	1477	328
818	1478	326
819	1480	324
820	1482	323
821	1483	321
822	1484	319
823	1485	317
824	1486	315
825	1487	313
826	1488	311
827	1489	309
828	1490	307
829	1491	305
830	1492	303
831	1495	301
832	1497	300
833	1498	298
834	1499	296
835	1500	294
836	1501	292
837	1502	290
838	1503	288
839	1504	286
840	1505	284
841	1506	282
842	1507	280
843	1508	278
844	1510	277
845	1511	275
846	1512	273
847	1513	271
848	1514	269
849	1515	267
850	1517	265
851	1517	263
852	1518	261
853	1519	259
854	1520	257
855	1521	256
856	1522	254
857	1525	252
858	1527	250
859	1528	248
860	1529	246
861	1530	245
862	1531	243
863	1532	241
864	1533	239
865	1534	237
866	1535	235
867	1536	233
868	1537	231
869	1538	229
870	1541	228
871	1542	226
872	1544	224
873	1545	222
874	1546	220
875	1547	218
876	1547	217
877	1548	215
878	1549	213
879	1550	211
880	1551	209
881	1552	207
882	1554	205
883	1555	204
884	1557	202
885	1558	200
886	1559	198
887	1560	196
888	1562	195
889	1564	193
890	1565	191
891	1566	189
892	1567	187
893	1568	186
894	1571	184
895	1573	182
896	1575	180
897	1576	179
898	1577	177
899	1578	175
900	1579	173
901	1580	171
902	1581	169
903	1582	168
904	1583	166
905	1585	164
906	1587	162
907	1588	160
908	1589	159
909	1590	157
910	1591	155
911	1592	153
912	1593	151
913	1594	150
914	1595	148
915	1596	146
916	1597	144
917	1598	142
918	1600	141
919	1602	139
920	1603	137
921	1604	135
922	1605	133
923	1605	132
924	1606	130
925	1607	128
926	1608	126
927	1609	124
928	1610	123
929	1611	121
930	1612	119
931	1613	117
932	1616	116
933	1618	114
934	1619	112
935	1620	110
936	1621	108
937	1622	107
938	1623	105
939	1624	103
940	1625	101
941	1626	100
942	1627	98
943	1628	96
944	1630	94
945	1632	93
946	1633	91
947	1634	89
948	1635	87
949	1636	86
950	1637	84
951	1638	82
952	1639	80
953	1640	79
954	1641	77
955	1642	75
956	1643	73
957	1645	72
958	1646	70
959	1648	68
960	1649	66
961	1650	65
962	1651	63
963	1654	61
964	1655	60
965	1656	58
966	1657	56
967	1658	54
968	1661	53
969	1663	51
970	1664	49
971	1665	47
972	1666	46
973	1667	44
974	1668	42
975	1669	41
976	1670	39
977	1671	37
978	1672	35
979	1673	34
980	1675	32
981	1677	30
982	1678	29
983	1679	27
984	1680	25
985	1681	23
986	1682	22
987	1683	20
988	1684	18
989	1685	17
990	1686	15
991	1687	13
992	1689	11
993	1691	10
994	1692	8
995	1693	6
996	1694	5
997	1695	3
998	1696	1
999	1697	0
